race_id,date,distance,weather,num_horses,horse_id,horse_name,FP,odds_win,time,last3f,weight,PP,sex_age,jockey,pop_win,horse_weight,venue,surface_type,track_condition,url_jp,target_win,sex,age,weather_Cloudy,weather_LightRain,weather_Rain,weather_Snow,weather_Sunny,weather_nan,sex_2,sex_3,sex_nan
202406010409,2024-01-13,1600.0,Cloudy,12,2021106655,Lotus Wand,12.0,195.8,1:34.9,35.2,55,12,3F,A.Sugawara,11.0,454(-8),NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/,0,3,3,True,False,False,False,False,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021102280,David Tesoro,1.0,8.8,1:35.1,35.6,56,1,3C,Y.Hara,5.0,466(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,1,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105467,For the Boys,2.0,1.8,1:35.2,35.0,55,11,3F,K.Miura,1.0,426(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021101595,Viva Crown,3.0,4.7,1:35.3,35.4,57,10,3C,T.Ono,2.0,468(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021101023,Eifer Battle,4.0,6.5,1:35.6,35.1,55,5,3C,N.Fujita,3.0,444(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021104416,Wide Blizzard,5.0,7.2,1:35.7,36.0,57,8,3C,R.King,4.0,446(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021106366,Roanoke Tesoro,6.0,15.0,1:35.8,35.9,55,2,3F,T.Kowata,6.0,466(+10),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105006,Kaimana Eleele,7.0,254.7,1:36.1,35.8,55,3,3F,M.Muto,10.0,394(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021105368,Jun Powerful,8.0,67.6,1:36.5,36.5,52,6,3F,S.Kobayashi,7.0,452(-2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021106405,Cheval Aile,9.0,207.7,1:36.6,36.1,57,9,3C,Y.Yoshida,8.0,520(-8),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021101288,Caramel Milk,10.0,247.2,1:37.3,36.7,55,4,3F,R.Sugahara,9.0,400(-4),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020107,2024-02-24,1600.0,Sunny,11,2021100105,That's,11.0,386.4,1:37.7,36.6,57,7,3C,J.Iwabe,11.0,528(-2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020107/,0,3,3,False,False,False,False,True,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021105609,Spark Richard,1.0,3.2,1:35.1,35.4,57,5,3C,M.Demuro,2.0,484(+2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,1,3,3,True,False,False,False,False,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021100152,Best of You,2.0,27.1,1:35.2,35.7,57,7,3C,R.Sakai,6.0,424(-2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,0,3,3,True,False,False,False,False,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021101651,Clean Air,3.0,4.5,1:35.5,35.7,57,4,3C,T.Ono,3.0,472(+2),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,0,3,3,True,False,False,False,False,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021104908,Nicholaus,4.0,3.0,1:35.7,35.6,57,9,3C,T.Yokoyama,1.0,438(-10),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,0,3,3,True,False,False,False,False,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021107085,Win Acteur,5.0,29.3,1:35.9,35.9,57,2,3C,M.Matsuoka,7.0,430(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,0,3,3,True,False,False,False,False,False,False,True,False
202406020306,2024-03-02,1600.0,Cloudy,12,2021100247,Tiger Dragon,6.0,43.1,1:36.1,35.9,53,1,3C,H.Oehara,8.0,448(0),NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202406020306/,0,3,3,True,False,False,False,False,False,False,True,False
